Filial propietaria directa,Inmuebles,Fianzas depositadas,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,
Banco Santander,143,"43.203,29 €",Banco Santander,España,Banco Santander,España,Empresa privada,,Entidades financieras,Banca,
Building Center S.A.,91,"812.948,73 €",CaixaBank,España,Building Center S.A.,España,Empresa privada,,Entidades financieras,Banca,
Nestar Residencial. S.A,71,"29.840,18 €",CBRE,Estados Unidos,Nestar Residencial SII,España,Empresa privada,,Inmobiliaria,,
