Inmuebles,Filial propietaria directa,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6
79,EURO SPAIN PROMOCIONES HOTELERAS SL,Euro Spain Promociones Hoteleras SL,España,Euro Spain Promociones Hoteleras SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
79,"RODESAN, S.A.U.",Grup Volumetric,España,Rodesan SA,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2013/04/05/pdfs/BORME-A-2013-64-08.pdf,https://civio.box.com/s/kasroxk9qxx2izhnn5a7t9zoqaric5gz,https://volumetric.es/volumetric/,NA,NA,NA
79,INMOBILIARIA MUNTANER SL,Inmobiliaria Muntaner SL,España,Inmobiliaria Muntaner SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
79,INMOBILIARIA SACOVI SL,Inmobiliaria Sacovi SL,España,Inmobiliaria Sacovi SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
79,IMMOBILIARIA SAN QUINTIN,Inmobiliaria San Quintín,España,Inmobiliaria San Quintín,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
79,JORMAVI SL,Jormavi SL,España,Jormavi SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
79,RAINPAT RENTA SLU,Rainpat 2015 SL,España,Rainpat 2015 SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2019/12/02/pdfs/BORME-A-2019-231-08.pdf,NA,NA,NA,NA,NA
78,CIESGA SL,Ciesga SL,España,Ciesga SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
78,LANDIA BCN SL,Lanbal BCN SL,España,Landia BCN SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
78,ORDEN HOSPITALARIA DE SAN JUAN DE DIOS,Orden Hospitalaria de San Juan de Dios,España,Orden Hospitalaria de San Juan de Dios,España,Entidades religiosas,NA,Entidades religiosas,NA,NA,NA,NA,NA,NA,NA
78,TAURO REAL ESTATE SL,Tauro Real Estate SL,España,Tauro Real Estate SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
77,SERVIHABITAT ALQUILER II SL,CaixaBank,España,Inmo Criteria Caixa,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2017/10/23/pdfs/BORME-A-2017-202-08.pdf,NA,NA,NA,NA,NA
77,SERVIHABITAT ALQUILER SL,CaixaBank,España,Inmo Criteria Caixa,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2017/07/28/pdfs/BORME-A-2017-143-08.pdf,NA,NA,NA,NA,NA
77,FOMENTO INMOBILIARIA CASACLARA SA,Fomento Inmobiliaria Casaclara SA,España,Fomento Inmobiliaria Casaclara SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
77,LOVIRENT SL,Lovirent SL,España,Lovirent SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
77,OLLETSAC SL,Olletsac SL,España,Olletsac SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
76,INMO ROSSA SL INMO-ROSSA S.L.,Inmo Rossa SL,España,Inmo Rossa SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
76,LANBAL BCN SL,Lanbal BCN SL,España,Lanbal BCN SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
74,"CAMPO DE GAMA, S.L.U.",Campo de Gama SL,España,Campo de Gama SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
74,FUNDACIO ILURO,Fundació Iluro,España,Fundació Iluro,España,Fundaciones,NA,Fundaciones,NA,NA,NA,NA,NA,NA,NA
74,"MGS, SEGUROS Y REASEGUROS SA",MGS Seguros,España,MGS Seguros,España,Empresa privada,NA,Seguros,NA,NA,NA,NA,NA,NA,NA
74,TITISA SA,Titisa SA,España,Titisa SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
73,FARRE-RENTALS SA,Farre-Rentals SA,España,Farre-Rentals SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
73,FINCAS ARMENGOL SCP,Fincas Armengol SCP,España,Fincas Armengol SCP,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
73,FREMAN SL,Freman SL,España,Freman SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
73,PAULISTANO SL,Paulistano SL,España,Paulistano SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
73,UNION PROMOTORA DE INVERSIONES SL,Unión Promotora de Inversiones SL,España,Unión Promotora de Inversiones SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
72,PROCORNELLA SA,Ajuntament de Cornellà de Llobregat,España,Procornellá SA,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,https://www.procornella.cat/es_ES/legaladvice.htm,NA,NA,NA,NA,NA
72,EDIFICIOS Y ESPECTACULOS S.L,Edificios y Espectáculos SL,España,Edificios y Espectáculos SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
72,FILEVA SL,Fileva SL,España,Fileva SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
71,ARENASAN SL,Arenasan SA,España,Arenasan SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
70,BISBAT DE VIC,Bisbat de Vic,España,Bisbat de Vic,España,Entidades religiosas,NA,Entidades religiosas,NA,https://www.bisbatvic.org/ca/lesglesia-i-tu/qui-som,NA,NA,NA,NA,NA
70,"BORIVIL, SL",Borivil SL,España,Borivil SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
70,"IMPULS LLOGUER, SLU",Qualest Patrimonial SL,España,Qualest Patrimonial SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2020/03/19/pdfs/BORME-A-2020-55-08.pdf,NA,NA,NA,NA,NA
70,SIMOTRES 1997 SL,Simotres 1997 SL,España,Simotres 1997 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
70,VINU SA VINU SA,Vinu SA,España,Vinu SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
69,JORBAJOR SL,Jorbajor SL,España,Jorbajor SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
69,MARIA DE VALLDONZELLA SL,María de Valldonzella SL,España,María de Valldonzella SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
69,EDIMAN INVERSIONES SLU,Nolabey Grup,España,Nolabey Grup,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2011/01/31/pdfs/BORME-A-2011-20-08.pdf,NA,NA,NA,NA,NA
69,PROHORTA SL,Prohorta SL,España,Prohorta SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
69,BADROCIL INMOBILIARIA SL,Ruarti XXI,España,Ruarti XXI,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2012/07/10/pdfs/BORME-A-2012-130-08.pdf,NA,NA,NA,NA,NA
68,ACRANOU,Acranou,España,Acranou,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
68,"BIENES ARRENDADOS URBANOS, S.L.",Bienes Arrendados Urbanos SL,España,Bienes Arrendados Urbanos SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
68,ICOFRE DIAGONAL SL,Icofre Diagonal SL,España,Icofre Diagonal SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
68,MERCHLINCEO SL,Merchlinceo SL,España,Merchlinceo SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
68,ROLEG SA,Roleg SA,España,Roleg SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
67,"ALISEDA, SAU",Blackstone,Estados Unidos,Balsam Investments SARL,Luxemburgo,Soparfi,NA,Entidades financieras,Fondos de inversión,https://www.boe.es/borme/dias/2018/08/01/pdfs/BORME-A-2018-147-28.pdf,https://www.boe.es/borme/dias/2018/04/12/pdfs/BORME-A-2018-71-28.pdf,https://www.boe.es/borme/dias/2018/03/06/pdfs/BORME-A-2018-46-28.pdf,https://www.santander.com/content/dam/santander-com/es/contenido-paginas/landing-pages/fusiones/informacion-relativa-a-la-fusion-de-banco-santander-s-a--como-sociedad-absorbente-y-sorlinda-investments-s-l-u--como-sociedad-absorbida-julio-2019-/do-cuentas-anuales-informe-de-gestion-e-informe-de-auditoria-de-banco-santander-sa-ejercicio-2018---individuales.pdf,NA,NA
67,FINQUES CASTELLBELL SL,Finques Castellbell SL,España,Finques Castellbell SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
67,INMOBILIARIA SAMUR SL,Inmobiliaria Samur SL,España,Inmobiliaria Samur SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
67,"INVERSIONES CABOET, S.A.",Inversiones Caboet SA,España,Inversiones Caboet SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
67,J. BALAGUÉ ARQUITECTURA E INGENIERIA S. A.,J. Balagué Arquitectura e Ingeniería SA,España,J. Balagué Arquitectura e Ingeniería SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
67,MAR-LLAU SL,Mar Llau SL,España,Mar Llau SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
67,"ROFISO, S.L.U.",Rofiso SL,España,Rofiso SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
66,CAPITAL VALUE REAL ESTATE SL,Capital Value Real Estate SL,España,Capital Value Real Estate SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
66,PATRIMONIAL DE LLORENS TERRADE,Patrimonial de Llorens Terrade,España,Patrimonial de Llorens Terrade,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
66,XAPLUC SL,Xapluc SL,España,Xapluc SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
65,ARZOBISPADO DE BARCELONA,Arzobispado de Barcelona,España,Arzobispado de Barcelona,España,Entidades religiosas,NA,Entidades religiosas,NA,NA,NA,NA,NA,NA,NA
65,FINCAS GONSENI S.L.,Fincas Gonseni SL,España,Fincas Gonseni SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
65,HEREUS DE JOSEP M AGUSTI MARFA SA,Hereus de Josep M. Agustí Marfa SA,España,Hereus de Josep M. Agustí Marfa SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
65,RICIMA SL,Ricima SL,España,Ricima SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
65,RIU GODO SL,Riu Godo SL,España,Riu Godo SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
65,MERLIMAU SERVICIOS INMOBILIARIOS SLU,Spray Boston SL,España,Spray Boston SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2015/04/14/pdfs/BORME-A-2015-69-17.pdf,NA,NA,NA,NA,NA
63,CODU SL,Codu SL,España,Codu SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
