Inmuebles,Filial propietaria directa,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6
57,QUATRE CAPITAL BP SL,Quatre Capital BP SL,España,Quatre Capital BP SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
57,SOIFLER SL,Soifler SL,España,Soifler SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
57,TOLIAN INVERSIONS SL,Tolian Inversions SL,España,Tolian Inversions SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
57,ZEIN SL,Zein SL,España,Zein SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
56,"ESPAIS I DIMENSIONS AM2, S.L.",Espais i Dimensions AM2 SL,España,Espais i Dimensions AM2 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
56,HOTEL GALES SL,Hotel Gales SL,España,Hotel Gales SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
56,INMOBILIRIA CAMFOR SA,Inmobiliaria Camfor SA,España,Inmobiliaria Camfor SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
56,DOGA RESIDENCIAL SLU,Inversiones Industriales e Inmobiliarias SL,España,Inversiones Industriales e Inmobiliarias SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2020/01/31/pdfs/BORME-A-2020-21-08.pdf,NA,NA,NA,NA,NA
56,"J. RODOREDA, S.L.",J. Rodoreda SL,España,J. Rodoreda SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
56,LABEAN INVERSIONS SL,Labean Inversions SL,España,Labean Inversions SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
56,"MARVALLOS, S.L.",Marvallos SL,España,Marvallos SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
56,POLITEAM SL,Politeam SL,España,Politeam SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
55,"A3 DOMUS HABITATGES, S.L.",A3 Domus Habitatges SL,España,A3 Domus Habitatges SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
55,RENTDAEN SL,Ferine SL,España,Ferine SL,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2014/07/18/pdfs/BORME-A-2014-135-08.pdf,https://www.boe.es/borme/dias/2013/07/18/pdfs/BORME-A-2013-135-08.pdf,NA,NA,NA,NA
55,FINCAMAN 90 SAU,Fincaman 90 SA,España,Fincaman 90 SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
55,GLOBALFISAR,Geinfisar 99,España,Geinfisar 99,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2014/02/27/pdfs/BORME-A-2014-40-08.pdf,NA,NA,NA,NA,NA
55,GOLI IMMOBLES SL,Goli Inmobles SL,España,Goli Inmobles SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
55,"LOZACAR, SL",Lozacar SL,España,Lozacar SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
55,PARWING SL,Parwing SL,España,Parwing SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
55,RENTAURO SA,Rentauro SA,España,Rentauro SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
54,ABANCA CORPORACION DIVISION INMOBILIARIA SL,Abanca,España,Abanca,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2015/02/09/pdfs/BORME-A-2015-26-15.pdf,https://www.boe.es/borme/dias/2012/05/21/pdfs/BORME-A-2012-94-15.pdf,https://www.boe.es/borme/dias/2014/11/21/pdfs/BORME-A-2014-223-15.pdf,https://www.boe.es/borme/dias/2014/12/10/pdfs/BORME-A-2014-235-15.pdf,NA,NA
54,BISBAT DE OSONA,Bisbat de Osona,España,Bisbat de Osona,España,Entidades religiosas,NA,Entidades religiosas,NA,NA,NA,NA,NA,NA,NA
54,CILANER SL,Cilaner SL,España,Cilaner SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
54,CIRCULO HARPO S.L.,Círculo Harpo SL,España,Círculo Harpo SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
54,HUGUET SANTAEULARIA SL,Huguet Santaeularia SL,España,Huguet Santaeularia SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
54,INMOBILIARIA FINCAS URBANAS ESPAÑOLAS SA,Inmobiliaria Fincas Urbanas Españolas SA,España,Inmobiliaria Fincas Urbanas Españolas SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
54,"INMOBILIARIA NORDESTE DE CONSTRUCCIONES, S.A.",Inmobiliaria Nordeste de Construcciones SA,España,Inmobiliaria Nordeste de Construcciones SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
54,"NMB IMMOBLES 2022, S.L.",NMB Inmobles 2022,España,NMB Inmobles 2022,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
54,TAXACIONS I ENGINYERIA ORDEIX SL,Taxacions i Enginyeria Ordeix SL,España,Taxacions i Enginyeria Ordeix SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
53,ARNEGAS SL,Arnegas SL,España,Arnegas SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
53,COMU SANT QUIRZE DEL VALLES SL,Ajuntament de Sant Quirze del Vallès,España,Comu Sant Quize del Vallés SL,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
53,FUNDACIÓ PRIVADA HÀBITAT3 TERCER SECTOR SOCIAL,Fundació Hàbitat3,España,Fundació Hàbitat3,España,Fundaciones,NA,Fundaciones,NA,https://www.habitat3.cat/presentacio,NA,NA,NA,NA,NA
53,GAULES S.L.,Gaules SL,España,Gaules SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
53,GENEROS DE PUNTO I ODENA SL,Géneros de Punto i Odena SL,España,Géneros de Punto i Odena SL,España,Empresa privada,NA,Otros,NA,NA,NA,NA,NA,NA,NA
53,IC 145 SL,Ic 145 SL,España,Ic 145 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
53,INICIATIVAS MOLTGOIG SL,Iniciativas Moltgoig SL,España,Iniciativas Moltgoig SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
53,"M.Q.F., S.L.",MQF SL,España,MQF SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
53,PRECAVE SL,Precave SL,España,Precave SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
53,SYM SA,Sym SA,España,Sym SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
52,2020IMMOPEDRALBES,2020 Immopedralbel SL,España,2020 Immopedralbel SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
52,INMOBILIARIA GIMENO ESTEVA SL,Inmobiliaria Gimeno Esteva SL,España,Inmobiliaria Gimeno Esteva SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
52,INMOBILIARIA JUMARROS SA,Inmobiliaria Jumarros SA,España,Inmobiliaria Jumarros SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
52,INMOBILIARIA RIBASMAR S.A,Inmobiliaria Ribasmar SA,España,Inmobiliaria Ribasmar SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
52,LANOVA CREU COBERTA SL,La Nova Creu Coberta SL,España,La Nova Creu Coberta SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
51,AJUNTAMENT DE SANTA COLOMA DE GRAMENET,Ajuntament de Santa Coloma de Gramanet,España,Ajuntament de Santa Coloma de Gramanet,España,Empresas públicas o administraciones,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
51,"CENTRE FINANCER GIRONA-BARNA, S.L.",Centre Financer Girona-Barna SL,España,Centre Financer Girona-Barna SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
51,CLATENA SL,Clatena SL,España,Clatena SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
51,EDIPAU 8 SL,Edipau 8 SL,España,Edipau 8 SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
51,ESTACIÓN SERVICIO HORT GRAN S.A,Estación Servicio Hort Gran SA,España,Estación Servicio Hort Gran SA,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
51,"FUNDACIÓ BENEFICO PRIVADA BARNOLA VALLRIBERA, SANT","Fundació Barnola-Vallribera, Sant Josep",España,"Fundació Barnola-Vallribera, Sant Josep",España,Fundaciones,NA,Fundaciones,NA,https://fbpbarnola.cat/,NA,NA,NA,NA,NA
51,IMISL,Inversiones Mobiliarias e Inmobiliarias SL,España,Inversiones Mobiliarias e Inmobiliarias SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
51,INMOBILIARIA LUMA SL,Inmobiliaria Luma SL,España,Inmobiliaria Luma SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
