Filial propietaria directa,Inmuebles,Fianzas depositadas,Matriz,Sede empresa matriz,Sociedad intermedia utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Régimen,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Fuente 6,Fuente 7,Fuente 8
"ADRIANO CARE SPV1, S.L.U.b.",106,35599.01,Azora Capital,España,Adriano Care Socimi,España,Socimi,NA,Inmobiliaria,NA,General,https://www.boe.es/borme/dias/2022/02/17/pdfs/BORME-A-2022-33-28.pdf,https://www.bmegrowth.es/docs/documentos/Otros/2021/05/05405_Folleto_20210518.pdf,https://ca-indosuez.com/discover-us/our-key-figures,NA,NA,NA,NA,NA
LAZORA SA SII,108,35531.64,CBRE,Estados Unidos,Azora Capital SL,España,Empresa privada,NA,Inmobiliaria,NA,Concertado,https://www.azora.es/inversion-inmobiliaria/residencial/,https://nestarhomes.es/aviso-legal,https://www.boe.es/borme/dias/2019/06/14/pdfs/BORME-A-2019-112-28.pdf,https://www.cnmv.es/Portal/verGesDoc.axd?t={f7136115-8e63-48f8-aed7-58a0c192696e},https://www.azora.es/wp-content/uploads/2021/01/ESG-Report_Lazora-2019_EN.pdf,https://www.azora.es/wp-content/uploads/2022/10/LAZORA_Informe-Semestral-del-Primer-Semestre-2022.pdf,NA,NA
Concello de A Coruña,113,Sin datos,Concello de A Coruña,España,Concello de A Coruña,España,Empresa o administración pública,Ayuntamiento,Parque público,NA,Sin datos,NA,NA,NA,NA,NA,NA,NA,NA
INMOBILIARIA SAN FERNANDO S.A,114,106003.03,Inmobiliaria San Fernando,España,Inmobiliaria San Fernando,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
SANTIAGO SUR ALQUILERS SL,120,53031.37,Provive SL,España,Santiago Sur Galicia SL,España,Empresa privada,NA,Inmobiliaria,NA,General,https://www.boe.es/borme/dias/2013/02/07/pdfs/BORME-A-2013-26-15.pdf,https://www.boe.es/borme/dias/2013/02/22/pdfs/BORME-A-2013-37-15.pdf,NA,NA,NA,NA,NA,NA
VIRIAMARCA SL,120,58918.23,Viriamarca SL,España,Viriamarca SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
ALQUILERES CAMPUS STELLAE SL,123,40476,Alquileres Campus Stellae S.L.,España,Alquileres Campus Stellae S.L.,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
ABANCA DIVISION INMOBILIARIA S.L,136,374112.74,Abanca,España,Abanca,España,Empresa privada,NA,Entidades financieras,Banca,General,NA,NA,NA,NA,NA,NA,NA,NA
"ABANCA CORPORACION BANCARIA, SA",152,347705.94,Abanca,España,Abanca,España,Empresa privada,NA,Entidades financieras,Banca,General,NA,NA,NA,NA,NA,NA,NA,NA
NAVILI S.L.,205,60943.75,Navili SL,España,Navili SL,España,Empresa privada,NA,Construcción,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
ANDRES LOPEZ BLANCO SL,232,147261.20000000001,Andrés López Blanco SL,España,Andrés López Blanco SL,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
"AVANTE ELECTA,SL.",304,95238,"Avante Electa, S.L.",España,"Avante Electa, S.L.",España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
TESTA RESIDENCIAL SOCIMI SA,337,189286.74,Blackstone,Estados Unidos,Tropic Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,Concertado,https://www.cnmc.es/sites/default/files/2272271_5.pdf,https://www.boe.es/borme/dias/2019/07/15/pdfs/BORME-A-2019-133-28.pdf,https://www.testa-socimi.com/wp-content/uploads/2023/05/TRS-CCAA-Consolidadas-2022-Ida.pdf,NA,NA,NA,NA,NA
FINCAS LAVANDERIA SL,398,232297.81,Fincas Lavandeira,España,Fincas Lavandeira,España,Empresa privada,NA,Inmobiliaria,NA,General,NA,NA,NA,NA,NA,NA,NA,NA
Instituto Galego da Vivenda e Solo,3724,Sin datos,Xunta de Galicia,España,Instituto Galego da Vivenda e Solo,España,Empresa o administración pública,CCAA,Parque público,NA,Sin datos,NA,NA,NA,NA,NA,NA,NA,NA
