Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
AYUNTAMIENTO DE PALMA DEL RIO	59	Ayuntamiento de Palma del Río	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
AYUNTAMIENTO DE PATERNA DE RIVERA	59	Ayuntamiento de Paterna de Rivera	España	España	Ayuntamiento	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
EMPRESA PUBLICA DE VIVIENDA, SUELO Y EQUIPAMIENTO DE BAZA SL	60	Ayuntamiento de Baza	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
GESCAT VIVENDES EN COMERCIALIZACIO SL	60	BBVA	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
CARMILA ESPAÑA S.L.U.	343	Carrefour	Francia	España	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
INJUPISA S.L.U.	203	Juyro 1961 SL	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
RAIMUNDO GRAMONTELL SL	60	Raimundo Gramontell SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
VIEJOROBLE SL	60	Viejoroble SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
AD ASTRA PROYECTO MISR, S.L.	60	Visasur SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EMPRESA MUNICIPAL ALMERIA XXI SA	61	Ayuntamiento de Almería	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
CERPER RESIDENCIAL	62	Beren Magnus SL	España	España	Empresa privada	NA	Otros	Geriátricos	Andalucia	Sociedad Privada
CONSTRUCCIONES LOGOMARU SL	62	Construcciones Logomaru SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
