Filial propietaria directa	Inmuebles	Matriz	Sede empresa matriz	Sede sociedad utilizada	Tipo sociedad utilizada	Administración	Sector	Subsector	region	typeOfCompany
ANSAMO SA	253	Ansamo SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
INMO CRITERIA ARRENDAMIENTO III S.L.U.	266	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
CERVICAL QLP SL	266	Kna SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
INMOBILIARIA DAURO SA	269	Inmobiliaria Dauro SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EMPRESA DE SUELO ISLEÑA SA	270	Ayuntamiento de San Fernando	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
BANCO DE SABADELL SA	281	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
INMOBILIARIA EMILIO CASTRO E HIJOS SA	298	Inmobiliaria Emilio Castro e Hijos SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
EMPRESA MUNICIPAL DEL SUELO Y LA VIVIENDA DE SAN ROQUE, SA	309	Ayuntamiento de San Roque	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
PLAZA MAYOR SHOPPING SA	60	Plaza Mayor BV	Países Bajos	España	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
LAZORA SII SA	350	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
CORAL HOMES, SLU	355	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
KNA SA	374	Kna SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
TESTA RESIDENCIAL SOCIMI S.A.	379	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
RENTURNOGA SL	421	Nogarent	España	España	Empresa privada	NA	Inmobiliaria	NA	Andalucia	Sociedad Privada
ALISEDA SA	422	Blackstone	Estados Unidos	Luxemburgo	Empresa privada	NA	Entidades financieras	Fondos de inversión	Andalucia	Sociedad Privada
SOCIEDAD DE GESTION DE ACTIVOS PROCEDENTES DE LA REESTRUCTURACION BANCARIA SA	441	Sareb	España	España	Empresa pública	Administración central	Entidades financieras	Sociedad de gestión de activos	Andalucia	Sociedad Pública
PATRONATO DE VIVIENDAS MUNICIPALES CADIZ	454	Ayuntamiento de Cádiz	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
BANCO SANTANDER SA	1243	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
EMPRESA PROVINCIAL DE VIVIENDA SUELO Y EQUIPAMIENTO DE GRANADA SA	477	Ayuntamiento de Granada	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
AENA AEROPUERTOS, S.A.	483	Aena	España	España	Empresa pública	Administración central	Otros	Infraestructuras aeroportuarias	Andalucia	Sociedad Pública
SODERIN VEINTIUNO DESARROLLO Y VIVIENDA SAU	587	Ayuntamiento de La Rinconada	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
COMERCIANTES DEL PONIENTE SA	58	Comerciales del Poniente SA	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Andalucia	Sociedad Privada
INMUVISA INICIATIVA MUNICIPAL PARA LA VIVIENDA SA	626	Ayuntamiento de Lebrija	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
EMSISA EMPRESA MUNICIPAL, SA	647	Ayuntamiento de Chiclana de la Frontera	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
VIVIENDAS MUNICIPALES DE CORDOBA	728	Ayuntamiento de Córdoba	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
ADMINITRADOR DE INFRAESTRUCTURAS FERROVIARIAS	809	Adif	España	España	Empresa pública	Administración central	Otros	Infraestructuras ferroviarias	Andalucia	Sociedad Pública
PROMOCION Y GESTION DE VIVIENDAS DE CADIZ SA	881	Ayuntamiento de Cádiz	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
EMPRESA MUNICIPAL DE LA VIVIENDA DE JEREZ SA	1370	Ayuntamiento de Jerez	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
INSTITUTO MUNICIPAL DE LA VIVIENDA, LA REHABILITACION Y LA REGENERACION URBANA	1465	Ayuntamiento de Málaga	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
UNICAJA BANCO SA	1566	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
EMPRESA MUNICIPAL DE VIVIENDA, SUELO Y EQUIPAMIENTO DE SEVILLA, SA	2466	Ayuntamiento de Sevilla	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Andalucia	Sociedad Pública
JUNTA DE ANDALUCIA	4264	Junta de Andalucía	España	España	Empresa pública	CCAA	Parque público	NA	Andalucia	Sociedad Pública
BUILDINGCENTER SAU	5846	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Andalucia	Sociedad Privada
AGENCIA DE VIVIENDA Y REHABILITACION DE ANDALUCIA	13716	Junta de Andalucía	España	España	Empresa pública	CCAA	Parque público	NA	Andalucia	Sociedad Pública
Buildingcenter, S.A.U.	383	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Aragon	Sociedad Privada
Sociedad Municipal Zaragoza Vivienda, S.L.U.	332	Ayuntamienyo de Zaragoza	España	España	Empresa pública	Ayuntamiento	Parque público	NA	Aragon	Sociedad Pública
Nestar Residencial SII, S.A.	238	CBRE	Estados Unidos	España	Empresa privada	NA	Inmobiliaria	NA	Aragon	Sociedad Privada
Inmo Criteria Arrendamiento S.L.U.	161	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Aragon	Sociedad Privada
Vea Rental Homes Socimi S.A.	153	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Aragon	Sociedad Privada
Entrecampos Cuatro Socimi, S.A.	102	Entrecampos Cuatro Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Aragon	Sociedad Privada
Inversiones Ezetra S.L.	92	Bancale Servicios Integrales SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Aragon	Sociedad Privada
Compañía Urbanizadora Norte Zaragoza S.L.	90	Compañía Urbanizadora Norte Zaragoza S.L.	España	España	Empresa privada	NA	Inmobiliaria	NA	Aragon	Sociedad Privada
Zatiber Fusión S.L.	81	Zatiber Fusión SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Aragon	Sociedad Privada
Suelo y Vivienda de Aragón	231	Gobierno de Aragón	España	España	Empresa pública	CCAA	Parque público	NA	Aragon	Sociedad Pública
UNICAJA BANCA, S.A.	72	Unicaja Banco	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
MOSACATA, S.L.	1230	Unicaja Banco	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
TESTA RESIDENCIAL, S.L.	400	Blackstone	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Castilla la mancha	Sociedad Privada
TEMPORE PROPERTIES SOCIMI, S.A	153	TPG	Estados Unidos	Estados Unidos	Socimi	NA	Entidades financieras	Fondos de inversión	Castilla la mancha	Sociedad Privada
SAREB, S.A.	194	Sareb	España	España	Empresa pública	Administración central	Entidades financieras	Sociedad de gestión de activos	Castilla la mancha	Sociedad Pública
KTESIOS REAL ESTATE SOCIMI SA	198	RKS Real Estate	Luxemburgo	España	Socimi	NA	Inmobiliaria	NA	Castilla la mancha	Sociedad Privada
INVERSIONES EZETRA S.L	53	Bancale Servicios Integrales SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Castilla la mancha	Sociedad Privada
GICAMAN S.A.	1187	Junta de Comunidades de Castilla-La Mancha	España	España	Empresa pública	CCAA	Parque público	NA	Castilla la mancha	Sociedad Pública
FUNDACION SAN DIEGO DE ALCALA	112	Fundación San Diego de Alcalá	España	España	Fundación	NA	Fundaciones	NA	Castilla la mancha	Sociedad Privada
PROMONTORIA COLISEUM REAL ESTATE S.L.U.	52	Cerberus	Estados Unidos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Castilla la mancha	Sociedad Privada
CRITERIA CAIXA, S.A.	148	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
BUILDINGCENTER SAU	66	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
Bankia, S.A.	141	Bankia	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
Banco Santander, S.A.	53	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
GLOBAL PANTELARIA S.A.	146	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
LURI6 INVERSION INMOBILIARIA	185	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
UNION DE CREDITOS INMOBILIARIOS, S.A.	50	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
Banco Sabadell, SA	56	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
Banco de Castilla La Mancha, S.A.	72	Unicaja Banco	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
LIBERBANK, S.A.	74	Unicaja Banco	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
RETAMAR, S.A.	147	Unicaja Banco	España	España	Empresa privada	NA	Entidades financieras	Banca	Castilla la mancha	Sociedad Privada
Administrador de Infraestructuras Ferroviarias	152	Adif	España	España	Empresa pública	Administración central	Transportes	NA	Castilla la mancha	Sociedad Pública
ABANCA CORPORACION BANCARIA SA	55	Abanca	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
ACEF SPAIN PROPCO, S.L.U.	523	Axa	Francia	Luxemburgo	Socimi	NA	Seguros	NA	Madrid	Sociedad Privada
ADANIA PATRIMONIO, S.L.	148	Adania	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ADIF-ALTA VELOCIDAD	142	Adif	España	España	Empresas públicas o administraciones	Administración central	Otros	Infraestructuras aeroportuarias	Madrid	Sociedad Pública
ADMAFINCAS S.L	88	Admafincas SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ADMINISTRACIÓN Y GESTIÓN DE EDIFICIOS, S.A.	97	Administración y gestión de edificios SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ADMINISTRACIONES HERRANZ S.L.	61	Administraciones Herranz SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS	527	Adif	España	España	Empresas públicas o administraciones	Administración central	Otros	Infraestructuras ferroviarias	Madrid	Sociedad Pública
AENA S.M.E, S.A.	1038	Aena	España	España	Empresas públicas o administraciones	Administración central	Otros	Infraestructuras aeroportuarias	Madrid	Sociedad Pública
AFAR 4 S.L.	152	Afar 4 SL	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
AGENCIA DE VIVIENDA SOCIAL	21445	Comunidad de Madrid	España	España	Empresas públicas o administraciones	Comunidad Autónoma	Parque público	NA	Madrid	Sociedad Pública
AGISA, S.A.	882	Agisa	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
AKM ARGANZUELA, S.L.	56	Nohacmagdas Investments SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
ALBA PATRIMONIO INMOBILIARIO, S.A.	55	Grupo March	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
ALCOMAR HERREGA, S.L.	55	Alcomar Herrega SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALDESA CONSTRUCCIONES, S.A.	215	Aldesa	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
ALDIGAVIA S.A.U.	353	Grupo Ortiz	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALESPA, S.A.	153	Alespa SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALEXIA PATRIMONIO RESIDENCIAL, S.L.	78	Alexia Patrimonio Residencial SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALLIANZ COMPAÑIA DE SEGUROS Y REASEGUROS	54	Grupo Allianz	Alemania	Alemania	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
ALMACENES DEL MORAL, S.L	68	Almacenes del Moral SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALPHA TIGER SPAIN 1, S.L.U	119	CBRE	Estados Unidos	Países Bajos	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALQ-GEST ALQUILERES Y GESTION INMOBILIARIA SL	331	Alquileres y Gestión SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALQUILAME 2015, S.L.	63	Alquilame 2015 SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALQUILERES DEL ESTE SL	57	Alquileres del Este SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALQUILERES LA PEDRIZA, S.L.	85	Alquileres La Pedriza SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALQUILOPISOSMADRID, S.L.	227	AlquilopisosMadrid SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALQUIVICAR, S.L.	72	Alquivicar SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ALTAMIRA SANTANDER REAL ESTATE, S. A.	351	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
ANDRIA INVERSIONES INMOBILIARIAS S.A. Y FERCLER S.L. UTE	255	Andra Inversiones Inmobiliarias SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ANMAR & MARAL, S.L.	120	Anmar y Maral SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
AP67 SOCIMI, S.A.	193	AP67 Socimi SA	España	España	Socimi	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
APARTAMENTOS TUCUMAN, S.L.	59	Apartamentos Tucuman SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ARAGONESAS PROM. DE OBRAS Y CONSTRUCIONES, S.L.	66	Aragonesas Promoción de Obras y Construcciones	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
AREF THÉTHYS, S.L.U.	624	Axa	Francia	Luxemburgo	Socimi	NA	Seguros	NA	Madrid	Sociedad Privada
ARRALDE INVERSIONES S.L.	50	Arralde Inversiones SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ARRENDAMIENTOS COTANES, S.L.	206	La Invencible Sabina Inversiones	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ARRENDAMIENTOS QUINTANA, S.L.U.	151	Víctor Pradera 37 SL	España	España	Empresa privada	NA	Entidades financieras	Intermediarios financieros	Madrid	Sociedad Privada
ARRIENDA GESTIÓN S.A	132	Helvetia	Suiza	España	Empresa privada	NA	Seguros	NA	Madrid	Sociedad Privada
ARROYO DE LOS PRADOS, S.L.	101	Arroyo de los Prados SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ARTICA XXI SL	65	Artica XXI SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
ASOC. PRO-HUERFANOS DE LA GUARDIA CIVIL	502	Guardia Civil	España	España	Asociaciones	Administración central	Otros	Fuerzas de seguridad del Estado	Madrid	Sociedad Privada
ASOC. VECINOS PROVIVIENDAS SOCIALES DE TORREJON DE ARDOZ	107	Asoc. Vecinos Proviviendas Sociales de Torrejón de Ardoz	España	España	Asociaciones	NA	Otros	Asociación de vecinos	Madrid	Sociedad Privada
ASOCIACIÓN DE LA VOT DE SAN FRANCISCO DE ASÍS	294	Asociación de la venerable orden tercera de San Francisco de Asís	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Madrid	Sociedad Privada
AVANCE URBANO, S.L.	58	Empresas Tora 2003 SL	España	España	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
AVICOLA DEL JARAMA, S.A.	98	Avícola del Jarama	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
AVINTIA DESARROLLOS INMOBILIARIOS SL	82	Patrimonios Jivar 2000 SL	España	España	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
AYUNTAMIENTO DE MAJADAHONDA	117	Ayuntamiento de Majadahonda	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
AYUNTAMIENTO DE POZUELO DE ALARCON	127	Ayuntamiento de Pozuelo de Alarcón	España	España	Empresas públicas o administraciones	Ayuntamiento	Parque público	NA	Madrid	Sociedad Pública
AZATA	65	Azata	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
AZATA RENTA	852	Azata	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
BANCO BILBAO VIZCAYA ARGENTARIA, S.A.	146	BBVA	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BANCO CASTILLA-LA MANCHA, S.A.	50	Banco Castilla-La Mancha	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BANCO POPULAR ESPAÑOL, S.A.	182	Banco Popular Español	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BANCO SABADELL S.A.	326	Banco Sabadell	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BANCO SANTANDER, S.A.	388	Banco Santander	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BANKIA S.A.	174	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BATTENSER, S.L.	63	Battenser SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
BERF SPAIN MADRID VILLAVERDE, S.L.	171	Catella Real Estate AG	Alemania	Alemania	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
BEYOS Y PONGA, S.A	93	Unicaja	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BHI GESTIÓN COLMENAR, S.L.	169	Básico Homes Inversiones	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
BOANORTE,S.L.	107	Boanorte SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
BRASANCO, S.L.	278	Brasanco	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
BRULEMAR REAL ESTATE, S.L.	145	Brulemar Real Estate	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
BUILDINGCENTER, S.A.U.	1927	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
BURGO DE BUENAVISTA GESTIÓN, S.L.	72	Ares Management Corporation	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
BYRSA ASESORES INMOBILIARIOS, S.L.U.	90	Byrsa Asesores Inmobiliarios SLU	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
C.B. LUIS MANUEL MONTALBAN GUILLEN	165	CB Luis Montalbán Guillén	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
C.B.GALERÍA COMERCIAL LOS VALLES	51	CB Galería Comercial Los Vallas	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
C.C. BURGO DE LAS ROZAS S.A.	107	C.C. Burgo de las Rozas SA	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
CADE, S.L.	54	Cade SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CADEL, S.A.	68	Cadel SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CAIXABANK, S.A.	104	CaixaBank	España	España	Empresa privada	NA	Entidades financieras	Banca	Madrid	Sociedad Privada
CALAKLA S.L.	78	Calakla SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CAMINOS DE PASOL, S.L.	62	Promotora General Pirenaica SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CAMPORREDONDO-PUERTA HIERRO SEIS, S.L.	97	Camporredondo-Puerta Hierro Seis SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CANTOS AZULES SL	55	Cantos Azules SL	España	España	Empresa privada	NA	Otros	Explotación agrícola	Madrid	Sociedad Privada
CARLOTTA IBERIA, S.L.	89	Compagnie de Phalsbourg SL	Francia	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CARMILA ESPAÑA, S.L.U.	309	Carrefour	Francia	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
CARREFOUR PROPERTY ESPAÑA, S.L.	72	Carrefour	Francia	Francia	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
CASLILLA S.A.	61	Caslilla SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CASPIMA, S.L.	51	Caspima SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CASTELLANA 2000 VIVIENDAS DE MADRID S.A.	52	Castellana 2000 Viviendas de Madrid SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CASTELLANA DE INMUEBLES Y COMERC. S.A.	70	Castellana de Inmuebles Comerciales SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CASVOZ, S.A.	58	Casvoz SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CATELLA ERF SPAIN 02, S.L.U.	164	Catella Real Estate AG	Alemania	Alemania	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
CATELLA WE 02 SPAIN, S.L.	82	Catella Real Estate AG	Alemania	Alemania	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
CATELLA WE 4 SPAIN S.LU	108	Catella Real Estate AG	Alemania	Alemania	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
CATELLA WE-05 SPAIN S.L.U.	108	Catella Real Estate AG	Alemania	Alemania	Empresa privada	NA	Consultoría	NA	Madrid	Sociedad Privada
CAVI GESTIÓN, S.L.	62	Cavi Gestión SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CDAD. PROP.AV. CDAD BARCELONA, LEON GIL PALACIOS Y TELLEZ	72	Comunidad de Propietarios Avenida Ciudad de Barcelona, León Gil Palacios y Tellez	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
CDAD.PROP.EDIF. CHAMBERI, C.B.	83	Cdad. Prop. Edif. Chamberí CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
CDAD.PROP.EDIF.PARQUE DEL OESTE,C.B	58	Comunidad Propietarios Edificio Parque del Oeste CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
CEETRUS URBAN PLAYER SPAIN S.A.U	275	Elsimar Beheermaatschappij BV	Países Bajos	Países Bajos	Empresa privada	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
CENTRO COMERCIAL SANTO DOMINGO	50	Centro Comercial Santo Domingo	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
CENTROS COMERCIALES LUALCA 2013, S.L.	132	Centros Comerciales Lualca	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
CENTROS COMERCIALES RAÍCES 3000 SL	64	Centros Comerciales Raíces 3000 SL	España	España	Empresa privada	NA	Centros comerciales y mercados	NA	Madrid	Sociedad Privada
CIA GRAL CONSTRUCCIÓN Y ARRIENDOS, S.A.	220	Cia Gral de Construcción y Arriendos	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CIOHSA LOCALES, S.L.U.	83	Framtid Inversiones SL	España	España	Empresa privada	NA	Entidades financieras	Compraventa de participaciones	Madrid	Sociedad Privada
CIRONA S.A.	51	Cirona SA	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
CITYFLAT GLOBAL SAREZ GROUP, S.L.	64	Cityflat Global Sarez Group SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
COJASWINVEST, S.L.	58	Cojaswinvest SL	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
COMPAÑIA EUROPEA DE ARRENDAMIENTOS URBANOS SAN SEBASTIAN DE LOS REYES,	89	CBRE	Estados Unidos	Luxemburgo	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
COMPAÑIA EUROPEA DE ARRENDAMIENTOS URBANOS, S.L.	101	Ares Management Corporation	Estados Unidos	Luxemburgo	Socimi	NA	Entidades financieras	Fondos de inversión	Madrid	Sociedad Privada
COMPAÑIA INMOBILIARIA FORNA , S.L. SOCIEDAD UNIPERSONAL	98	Compañía Inmobiliaria Forna	España	España	Empresa privada	NA	Inmobiliaria	NA	Madrid	Sociedad Privada
COMUNIDAD FRANCISCO DE ROJAS 5, C.B.	93	Comunidad Francisco de Rojas CB	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
COMUNIDAD HEREDITARIA QUEREDA HURTADO	50	Comunidad Hereditaria Quereda Hurtado	España	España	Comunidad de bienes, de propietarios y herencias yacentes	NA	Comunidad de bienes, de propietarios y herencias yacentes	NA	Madrid	Sociedad Privada
COMUNIDADES GESTIONADAS, S.A.	53	ACS	España	España	Empresa privada	NA	Construcción	NA	Madrid	Sociedad Privada
CONGREGACION DE APOSTOLICAS DEL CORAZON DE JESUS	89	Congregación de Apostólicas del Corazón de Jesús	España	España	Entidades religiosas	NA	Entidades religiosas	NA	Madrid	Sociedad Privada
